nohup: 忽略输入
/home/zhang_t/workspace/southner/model/ResAttentionNet.py:250: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  fall_res[:,:,[6,7]] = self.softmax(fall_res[:,:,[6,7]])
/home/zhang_t/workspace/southner/utils/utils.py:102: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  noo_pred_c = noo_pred[noo_pred_mask]
/home/zhang_t/workspace/southner/utils/utils.py:103: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  noo_target_c = noo_target[noo_pred_mask]
/home/zhang_t/.conda/envs/mmwave/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
/home/zhang_t/workspace/southner/utils/utils.py:132: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  box_pred_response = box_pred[coo_response_mask].view(-1,3)
/home/zhang_t/workspace/southner/utils/utils.py:133: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  box_target_response = box_target[coo_response_mask].view(-1,3)
/home/zhang_t/workspace/southner/utils/utils.py:139: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  box_pred_not_response = box_pred[coo_not_response_mask].view(-1,3)
/home/zhang_t/workspace/southner/utils/utils.py:140: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  box_target_not_response = box_target[coo_not_response_mask].view(-1,3)
/home/zhang_t/.conda/envs/mmwave/lib/python3.9/site-packages/torch/autograd/__init__.py:197: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525551200/work/aten/src/ATen/native/IndexingUtils.h:27.)
  Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
epoch:000 || batch 000 with loss:3049.324463 
epoch:000 || batch 010 with loss:1932.779053 
epoch:000 || batch 020 with loss:1300.078003 
epoch:000 || batch 030 with loss:856.623169 
epoch:000 || batch 040 with loss:601.882446 
epoch:000 || batch 050 with loss:482.044373 
epoch:000 || batch 060 with loss:341.814514 
epoch:000 || batch 070 with loss:221.113586 
epoch:000 || batch 080 with loss:179.631790 
epoch:000 || batch 090 with loss:157.272034 
epoch:001 || batch 000 with loss:138.378540 
epoch:001 || batch 010 with loss:117.878967 
epoch:001 || batch 020 with loss:131.186569 
epoch:001 || batch 030 with loss:118.825485 
epoch:001 || batch 040 with loss:132.708435 
epoch:001 || batch 050 with loss:115.989487 
epoch:001 || batch 060 with loss:116.545135 
epoch:001 || batch 070 with loss:104.068710 
epoch:001 || batch 080 with loss:107.285797 
epoch:001 || batch 090 with loss:103.337067 
epoch:002 || batch 000 with loss:109.787827 
epoch:002 || batch 010 with loss:103.609077 
epoch:002 || batch 020 with loss:100.196518 
epoch:002 || batch 030 with loss:100.378105 
epoch:002 || batch 040 with loss: 98.263016 
epoch:002 || batch 050 with loss:108.746643 
epoch:002 || batch 060 with loss: 97.186295 
epoch:002 || batch 070 with loss:101.582733 
epoch:002 || batch 080 with loss:100.928085 
epoch:002 || batch 090 with loss: 94.701569 
epoch:003 || batch 000 with loss: 99.750656 
epoch:003 || batch 010 with loss:104.170891 
epoch:003 || batch 020 with loss:124.280502 
epoch:003 || batch 030 with loss: 93.485764 
epoch:003 || batch 040 with loss: 99.092712 
epoch:003 || batch 050 with loss: 99.665649 
epoch:003 || batch 060 with loss: 98.709396 
epoch:003 || batch 070 with loss:109.024902 
epoch:003 || batch 080 with loss: 99.150566 
epoch:003 || batch 090 with loss: 96.575500 
epoch:004 || batch 000 with loss:118.010750 
epoch:004 || batch 010 with loss: 94.216873 
epoch:004 || batch 020 with loss: 98.186737 
epoch:004 || batch 030 with loss: 92.623047 
epoch:004 || batch 040 with loss: 98.520615 
epoch:004 || batch 050 with loss:107.225418 
epoch:004 || batch 060 with loss: 97.849777 
epoch:004 || batch 070 with loss: 93.001648 
epoch:004 || batch 080 with loss: 99.140503 
epoch:004 || batch 090 with loss: 96.415092 
epoch:005 || batch 000 with loss:102.020233 
epoch:005 || batch 010 with loss: 98.334549 
epoch:005 || batch 020 with loss: 93.780869 
epoch:005 || batch 030 with loss: 89.646889 
epoch:005 || batch 040 with loss: 99.565613 
epoch:005 || batch 050 with loss:108.464706 
epoch:005 || batch 060 with loss: 94.033676 
epoch:005 || batch 070 with loss: 98.275192 
epoch:005 || batch 080 with loss: 95.737732 
epoch:005 || batch 090 with loss: 86.539169 
epoch:006 || batch 000 with loss: 98.835327 
epoch:006 || batch 010 with loss:103.602547 
epoch:006 || batch 020 with loss:100.980698 
epoch:006 || batch 030 with loss: 94.003647 
epoch:006 || batch 040 with loss: 95.364532 
epoch:006 || batch 050 with loss:100.852310 
epoch:006 || batch 060 with loss: 93.865616 
epoch:006 || batch 070 with loss: 92.537476 
epoch:006 || batch 080 with loss: 92.078033 
epoch:006 || batch 090 with loss: 95.723389 
epoch:007 || batch 000 with loss: 95.722839 
